title: test  nSrf: 21795  downL: 300.000                    
521 291.797 0.87 0.10 1.50 298.150
522 292.427 0.83 0.10 1.50 298.150
523 295.176 0.60 0.10 1.50 298.150
524 293.508 0.74 0.10 1.50 298.150
525 294.984 0.60 0.10 1.50 298.150
526 294.860 0.60 0.10 1.50 298.150
527 295.349 0.60 0.10 1.50 298.150
528 296.469 0.60 0.10 1.50 298.150
529 294.947 0.60 0.10 1.50 298.150
530 293.463 0.60 0.10 1.50 298.150
531 294.440 0.60 0.10 1.50 298.150
532 293.371 0.60 0.10 1.50 298.150
533 293.377 0.60 0.10 1.50 298.150
534 292.061 0.85 0.10 1.50 298.150
535 293.373 0.60 0.10 1.50 298.150
536 296.486 0.97 0.10 1.50 298.150
537 296.359 0.97 0.10 1.50 298.150
538 295.294 0.96 0.10 1.50 298.150
539 297.214 0.60 0.10 1.50 298.150
540 293.857 0.60 0.10 1.50 298.150
541 293.438 0.60 0.10 1.50 298.150
542 297.006 0.60 0.10 1.50 298.150
543 297.389 0.60 0.10 1.50 298.150
544 296.778 0.96 0.10 1.50 298.150
545 297.453 0.60 0.10 1.50 298.150
546 297.008 0.74 0.10 1.50 298.150
547 297.498 0.60 0.10 1.50 298.150
548 296.394 0.97 0.10 1.50 298.150
549 293.719 0.60 0.10 1.50 298.150
550 296.376 0.60 0.10 1.50 298.150
551 295.007 0.60 0.10 1.50 298.150
552 293.568 0.60 0.10 1.50 298.150
553 294.000 0.60 0.10 1.50 298.150
554 292.754 0.97 0.10 1.50 298.150
555 294.949 0.60 0.10 1.50 298.150
556 293.650 0.60 0.10 1.50 298.150
557 293.788 0.60 0.10 1.50 298.150
558 293.864 0.60 0.10 1.50 298.150
559 293.977 0.60 0.10 1.50 298.150
560 292.085 0.82 0.10 1.50 298.150
561 294.930 0.60 0.10 1.50 298.150
562 295.075 0.60 0.10 1.50 298.150
563 293.195 0.97 0.10 1.50 298.150
564 294.521 0.60 0.10 1.50 298.150
565 292.959 0.97 0.10 1.50 298.150
566 294.849 0.60 0.10 1.50 298.150
567 295.832 0.60 0.10 1.50 298.150
568 294.539 0.60 0.10 1.50 298.150
569 294.830 0.60 0.10 1.50 298.150
570 294.830 0.60 0.10 1.50 298.150
